											
											
#		Español	Español LATAM	Japonés	Inglés	Francés	Alemán	Italiano	Coreano	Chino simplificado	Chino tradicional
26		Patada salto	Patada salto	とびげり	Jump Kick	Pied Sauté	Sprungkick	Calciosalto	점프킥	飞踢	飛踢
27		Patada giro	Patada giro	まわしげり	Rolling Kick	Mawashi Geri	Fegekick	Calciorullo	돌려차기	回旋踢	迴旋踢
28		Ataque arena	Ataque arena	すなかけ	Sand Attack	Jet de Sable	Sandwirbel	Turbosabbia	모래뿌리기	泼沙	潑沙
29		Golpe cabeza	Golpe cabeza	ずつき	Headbutt	Coup d’Boule	Kopfnuss	Bottintesta	박치기	头锤	頭錘
30		Cornada	Ataque cuerno	つのでつく	Horn Attack	Koud’Korne	Hornattacke	Incornata	뿔찌르기	角撞	角撞
31		Ataque furia	Ataque furia	みだれづき	Fury Attack	Furie	Furienschlag	Furia	마구찌르기	乱击	亂擊
32		Perforador	Cuerno taladro	つのドリル	Horn Drill	Empal’Korne	Hornbohrer	Perforcorno	뿔드릴	角钻	角鑽
33		Placaje	Tacleada	たいあたり	Tackle	Charge	Tackle	Azione	몸통박치기	撞击	撞擊
34		Golpe cuerpo	Golpe de cuerpo	のしかかり	Body Slam	Plaquage	Bodyslam	Corposcontro	누르기	泰山压顶	泰山壓頂
35		Constricción	Constricción	まきつく	Wrap	Ligotage	Wickel	Avvolgibotta	김밥말이	紧束	緊束
36		Derribo	Derribo	とっしん	Take Down	Bélier	Bodycheck	Riduttore	돌진	猛撞	猛撞
37		Saña	Golpiza	あばれる	Thrash	Mania	Fuchtler	Colpo	난동부리기	大闹一番	大鬧一番
38		Doble filo	Doble filo	すてみタックル	Double-Edge	Damoclès	Risikotackle	Sdoppiatore	이판사판태클	舍身冲撞	捨身衝撞
39		Agitacola	Látigo de cola	しっぽをふる	Tail Whip	Mimi-Queue	Rutenschlag	Colpocoda	꼬리흔들기	摇尾巴	搖尾巴
40		Picotazo veneno	Piquete venenoso	どくばり	Poison Sting	Dard-Venin	Giftstachel	Velenospina	독침	毒针	毒針
41		Doble ataque	Doble aguijón	ダブルニードル	Twineedle	Double Dard	Duonadel	Doppio Ago	더블니들	双针	雙針
42		Pin misil	Misil aguja	ミサイルばり	Pin Missile	Dard-Nuée	Nadelrakete	Missilspillo	바늘미사일	飞弹针	飛彈針
43		Malicioso	Malicioso	にらみつける	Leer	Groz’Yeux	Silberblick	Fulmisguardo	째려보기	瞪眼	瞪眼
44		Mordisco	Mordida	かみつく	Bite	Morsure	Biss	Morso	물기	咬住	咬住
45		Gruñido	Gruñido	なきごえ	Growl	Rugissement	Heuler	Ruggito	울음소리	叫声	叫聲
46		Rugido	Rugido	ほえる	Roar	Hurlement	Brüller	Boato	울부짖기	吼叫	吼叫
47		Canto	Canto	うたう	Sing	Berceuse	Gesang	Canto	노래하기	唱歌	唱歌
48		Supersónico	Supersónico	ちょうおんぱ	Supersonic	Ultrason	Superschall	Supersuono	초음파	超音波	超音波
49		Bomba sónica	Explosión sónica	ソニックブーム	Sonic Boom	Sonic Boom	Ultraschall	Sonicboom	소닉붐	音爆	音爆
50		Anulación	Anulación	かなしばり	Disable	Entrave	Aussetzer	Inibitore	사슬묶기	定身法	定身法
51		Ácido	Ácido	ようかいえき	Acid	Acide	Säure	Acido	용해액	溶解液	溶解液
52		Ascuas	Brasas	ひのこ	Ember	Flammèche	Glut	Braciere	불꽃세례	火花	火花
53		Lanzallamas	Lanzallamas	かえんほうしゃ	Flamethrower	Lance-Flammes	Flammenwurf	Lanciafiamme	화염방사	喷射火焰	噴射火焰
54		Neblina	Neblina	しろいきり	Mist	Brume	Weißnebel	Nebbia	흰안개	白雾	白霧
55		Pistola agua	Chorro de agua	みずでっぽう	Water Gun	Pistolet à O	Aquaknarre	Pistolacqua	물대포	水枪	水槍
56		Hidrobomba	Hidrobomba	ハイドロポンプ	Hydro Pump	Hydrocanon	Hydropumpe	Idropompa	하이드로펌프	水炮	水炮
57		Surf	Surf	なみのり	Surf	Surf	Surfer	Surf	파도타기	冲浪	衝浪
58		Rayo hielo	Rayo de hielo	れいとうビーム	Ice Beam	Laser Glace	Eisstrahl	Geloraggio	냉동빔	冰冻光束	冰凍光束
59		Ventisca	Ventisca	ふぶき	Blizzard	Blizzard	Blizzard	Bora	눈보라	暴风雪	暴風雪
60		Psicorrayo	Psicorrayo	サイケこうせん	Psybeam	Rafale Psy	Psystrahl	Psicoraggio	환상빔	幻象光线	幻象光線
61		Rayo burbuja	Rayo burbuja	バブルこうせん	Bubble Beam	Bulles d’O	Blubbstrahl	Bollaraggio	거품광선	泡沫光线	泡沫光線
62		Rayo aurora	Rayo aurora	オーロラビーム	Aurora Beam	Onde Boréale	Aurorastrahl	Raggiaurora	오로라빔	极光束	極光束
63		Hiperrayo	Hiperrayo	はかいこうせん	Hyper Beam	Ultralaser	Hyperstrahl	Iper Raggio	파괴광선	破坏光线	破壞光線
64		Picotazo	Picotazo	つつく	Peck	Picpic	Pikser	Beccata	쪼기	啄	啄
65		Pico taladro	Pico taladro	ドリルくちばし	Drill Peck	Bec Vrille	Bohrschnabel	Perforbecco	회전부리	啄钻	啄鑽
66		Sumisión	Sumisión	じごくぐるま	Submission	Sacrifice	Überroller	Sottomissione	지옥의바퀴	深渊翻滚	地獄翻滾
67		Patada baja	Patada baja	けたぐり	Low Kick	Balayage	Fußkick	Colpo Basso	안다리걸기	踢倒	踢倒
68		Contraataque	Contraataque	カウンター	Counter	Riposte	Konter	Contrattacco	카운터	双倍奉还	雙倍奉還
69		Sísmico	Sísmico	ちきゅうなげ	Seismic Toss	Frappe Atlas	Geowurf	Movim. Sismico	지구던지기	地球上投	地球上投
70		Fuerza	Fuerza	かいりき	Strength	Force	Stärke	Forza	괴력	怪力	怪力
71		Absorber	Absorción	すいとる	Absorb	Vole-Vie	Absorber	Assorbimento	흡수	吸取	吸取
72		Megaagotar	Megadrenado	メガドレイン	Mega Drain	Méga-Sangsue	Megasauger	Megassorbimento	메가드레인	超级吸取	超級吸取
73		Drenadoras	Drenadoras	やどりぎのタネ	Leech Seed	Vampigraine	Egelsamen	Parassiseme	씨뿌리기	寄生种子	寄生種子
74		Desarrollo	Crecimiento	せいちょう	Growth	Croissance	Wachstum	Crescita	성장	生长	生長
75		Hoja afilada	Hojas navaja	はっぱカッター	Razor Leaf	Tranch’Herbe	Rasierblatt	Foglielama	잎날가르기	飞叶快刀	飛葉快刀
76		Rayo solar	Rayo solar	ソーラービーム	Solar Beam	Lance-Soleil	Solarstrahl	Solarraggio	솔라빔	日光束	日光束
77		Polvo veneno	Polvo venenoso	どくのこな	Poison Powder	Poudre Toxik	Giftpuder	Velenpolvere	독가루	毒粉	毒粉
78		Paralizador	Paralizador	しびれごな	Stun Spore	Para-Spore	Stachelspore	Paralizzante	저리가루	麻痹粉	麻痺粉
79		Somnífero	Somnífero	ねむりごな	Sleep Powder	Poudre Dodo	Schlafpuder	Sonnifero	수면가루	催眠粉	催眠粉
80		Danza pétalo	Danza de pétalos	はなびらのまい	Petal Dance	Danse Fleurs	Blättertanz	Petalodanza	꽃잎댄스	花瓣舞	花瓣舞
81		Disparo demora	Disparo de seda	いとをはく	String Shot	Sécrétion	Fadenschuss	Millebave	실뿜기	吐丝	吐絲
82		Furia dragón	Furia dragón	りゅうのいかり	Dragon Rage	Draco-Rage	Drachenwut	Ira di Drago	용의분노	龙之怒	龍之怒
83		Giro fuego	Giro fuego	ほのおのうず	Fire Spin	Danse Flammes	Feuerwirbel	Turbofuoco	회오리불꽃	火焰旋涡	火焰旋渦
84		Impactrueno	Impactrueno	でんきショック	Thunder Shock	Éclair	Donnerschock	Tuonoshock	전기쇼크	电击	電擊
85		Rayo	Atactrueno	１０まんボルト	Thunderbolt	Tonnerre	Donnerblitz	Fulmine	10만볼트	十万伏特	十萬伏特
86		Onda trueno	Onda trueno	でんじは	Thunder Wave	Cage Éclair	Donnerwelle	Tuononda	전기자석파	电磁波	電磁波
87		Trueno	Trueno	かみなり	Thunder	Fatal-Foudre	Donner	Tuono	번개	打雷	打雷
88		Lanzarrocas	Lanzarrocas	いわおとし	Rock Throw	Jet-Pierres	Steinwurf	Sassata	돌떨구기	落石	落石
89		Terremoto	Terremoto	じしん	Earthquake	Séisme	Erdbeben	Terremoto	지진	地震	地震
90		Fisura	Fisura	じわれ	Fissure	Abîme	Geofissur	Abisso	땅가르기	地裂	地裂
91		Excavar	Excavar	あなをほる	Dig	Tunnel	Schaufler	Fossa	구멍파기	挖洞	挖洞
92		Tóxico	Tóxico	どくどく	Toxic	Toxik	Toxin	Tossina	맹독	剧毒	劇毒
93		Confusión	Confusión	ねんりき	Confusion	Choc Mental	Konfusion	Confusione	염동력	念力	念力
94		Psíquico	Fuerza psíquica	サイコキネシス	Psychic	Psyko	Psychokinese	Psichico	사이코키네시스	精神强念	精神強念
95		Hipnosis	Hipnosis	さいみんじゅつ	Hypnosis	Hypnose	Hypnose	Ipnosi	최면술	催眠术	催眠術
96		Meditación	Meditación	ヨガのポーズ	Meditate	Yoga	Meditation	Meditazione	요가포즈	瑜伽姿势	瑜伽姿勢
97		Agilidad	Agilidad	こうそくいどう	Agility	Hâte	Agilität	Agilità	고속이동	高速移动	高速移動
98		Ataque rápido	Ataque rápido	でんこうせっか	Quick Attack	Vive-Attaque	Ruckzuckhieb	Attacco Rapido	전광석화	电光一闪	電光一閃
99		Furia	Furia	いかり	Rage	Frénésie	Raserei	Ira	분노	愤怒	憤怒
100		Teletransporte	Teletransporte	テレポート	Teleport	Téléport	Teleport	Teletrasporto	순간이동	瞬间移动	瞬間移動
101		Tinieblas	Tinieblas	ナイトヘッド	Night Shade	Ombre Nocturne	Nachtnebel	Ombra Notturna	나이트헤드	黑夜魔影	黑夜魔影
102		Mimético	Mímica	ものまね	Mimic	Copie	Mimikry	Mimica	흉내내기	模仿	模仿
103		Chirrido	Chillido	いやなおと	Screech	Grincement	Kreideschrei	Stridio	싫은소리	刺耳声	刺耳聲
104		Doble equipo	Doble equipo	かげぶんしん	Double Team	Reflet	Doppelteam	Doppioteam	그림자분신	影子分身	影子分身
105		Recuperación	Recuperación	じこさいせい	Recover	Soin	Genesung	Ripresa	HP회복	自我再生	自我再生
106		Fortaleza	Fortaleza	かたくなる	Harden	Armure	Härtner	Rafforzatore	단단해지기	变硬	變硬
107		Reducción	Reducción	ちいさくなる	Minimize	Lilliput	Komprimator	Minimizzato	작아지기	变小	變小
108		Pantalla de humo	Pantalla de humo	えんまく	Smokescreen	Brouillard	Rauchwolke	Muro di Fumo	연막	烟幕	煙幕
109		Rayo confuso	Rayo de confusión	あやしいひかり	Confuse Ray	Onde Folie	Konfusstrahl	Stordiraggio	이상한빛	奇异之光	奇異之光
110		Refugio	Refugio	からにこもる	Withdraw	Repli	Panzerschutz	Ritirata	껍질에숨기	缩入壳中	縮入殼中
111		Rizo defensa	Hacerse bolita	まるくなる	Defense Curl	Boul’Armure	Einigler	Ricciolscudo	웅크리기	变圆	變圓
112		Barrera	Barrera	バリアー	Barrier	Bouclier	Barriere	Barriera	배리어	屏障	屏障
113		Pantalla de luz	Pantalla de luz	ひかりのかべ	Light Screen	Mur Lumière	Lichtschild	Schermoluce	빛의장막	光墙	光牆
114		Niebla	Niebla	くろいきり	Haze	Buée Noire	Dunkelnebel	Nube	흑안개	黑雾	黑霧
115		Reflejo	Reflejo	リフレクター	Reflect	Protection	Reflektor	Riflesso	리플렉터	反射壁	反射壁
116		Foco energía	Centrar energía	きあいだめ	Focus Energy	Puissance	Energiefokus	Focalenergia	기충전	聚气	聚氣
117		Venganza	Venganza	がまん	Bide	Patience	Geduld	Pazienza	참기	忍耐	忍耐
118		Metrónomo	Metrónomo	ゆびをふる	Metronome	Métronome	Metronom	Metronomo	손가락흔들기	挥指	揮指
119		Espejo	Espejo	オウムがえし	Mirror Move	Mimique	Spiegeltrick	Speculmossa	따라하기	鹦鹉学舌	鸚鵡學舌
120		Autodestrucción	Autodestrucción	じばく	Self-Destruct	Destruction	Finale	Autodistruzione	자폭	玉石俱碎	自爆
121		Bomba huevo	Bomba huevo	タマゴばくだん	Egg Bomb	Bombe Œuf	Eierbombe	Uovobomba	알폭탄	炸蛋	炸蛋
122		Lengüetazo	Lengüetazo	したでなめる	Lick	Léchouille	Schlecker	Leccata	핥기	舌舔	舌舔
123		Polución	Humo	スモッグ	Smog	Purédpois	Smog	Smog	스모그	浊雾	濁霧
124		Residuos	Residuos	ヘドロこうげき	Sludge	Détritus	Schlammbad	Fango	오물공격	污泥攻击	污泥攻擊
125		Hueso palo	Maza de hueso	ホネこんぼう	Bone Club	Massd’Os	Knochenkeule	Ossoclava	뼈다귀치기	骨棒	骨棒
126		Llamarada	Llamarada	だいもんじ	Fire Blast	Déflagration	Feuersturm	Fuocobomba	불대문자	大字爆炎	大字爆炎
127		Cascada	Cascada	たきのぼり	Waterfall	Cascade	Kaskade	Cascata	폭포오르기	攀瀑	攀瀑
128		Tenaza	Tenaza	からではさむ	Clamp	Claquoir	Schnapper	Tenaglia	껍질끼우기	贝壳夹击	貝殼夾擊
129		Meteoros	Meteoros	スピードスター	Swift	Météores	Sternschauer	Comete	스피드스타	高速星星	高速星星
130		Cabezazo	Cabezazo	ロケットずつき	Skull Bash	Coud’Krâne	Schädelwumme	Capocciata	로켓박치기	火箭头锤	火箭頭錘
131		Clavo cañón	Cañón de púas	とげキャノン	Spike Cannon	Picanon	Dornkanone	Sparalance	가시대포	尖刺加农炮	尖刺加農炮
132		Restricción	Restricción	からみつく	Constrict	Constriction	Umklammerung	Limitazione	휘감기	缠绕	纏繞
133		Amnesia	Amnesia	ドわすれ	Amnesia	Amnésie	Amnesie	Amnesia	망각술	瞬间失忆	瞬間失憶
134		Kinético	Kinético	スプーンまげ	Kinesis	Télékinésie	Psykraft	Cinèsi	숟가락휘기	折弯汤匙	折彎湯匙
135		Ovocuración	Ovocuración	タマゴうみ	Soft-Boiled	E-Coque	Weichei	Covauova	알낳기	生蛋	生蛋
136		Pat. salto alta	Patada salto alto	とびひざげり	High Jump Kick	Pied Voltige	Turmkick	Calcinvolo	무릎차기	飞膝踢	飛膝踢
137		Deslumbrar	Fulmirada	へびにらみ	Glare	Regard Médusant	Schlangenblick	Sguardo Feroce	뱀눈초리	大蛇瞪眼	大蛇瞪眼
138		Comesueños	Comesueños	ゆめくい	Dream Eater	Dévorêve	Traumfresser	Mangiasogni	꿈먹기	食梦	食夢
139		Gas venenoso	Gas venenoso	どくガス	Poison Gas	Gaz Toxik	Giftwolke	Velenogas	독가스	毒瓦斯	毒瓦斯
140		Bombardeo	Bombardeo	たまなげ	Barrage	Pilonnage	Stakkato	Sferattacco	구슬던지기	投球	投球
141		Chupavidas	Chupavidas	きゅうけつ	Leech Life	Vampirisme	Blutsauger	Sanguisuga	흡혈	汲取	吸血
142		Beso amoroso	Beso amoroso	あくまのキッス	Lovely Kiss	Grobisou	Todeskuss	Demonbacio	악마의키스	恶魔之吻	惡魔之吻
143		Ataque aéreo	Ataque celestial	ゴッドバード	Sky Attack	Piqué	Himmelsfeger	Aeroattacco	불새	神鸟猛击	神鳥猛擊
144		Transformación	Transformación	へんしん	Transform	Morphing	Wandler	Trasformazione	변신	变身	變身
145		Burbuja	Burbuja	あわ	Bubble	Écume	Blubber	Bolla	거품	泡沫	泡沫
146		Puño mareo	Puño mareador	ピヨピヨパンチ	Dizzy Punch	Uppercut	Irrschlag	Stordipugno	잼잼펀치	迷昏拳	迷昏拳
147		Espora	Esporas	キノコのほうし	Spore	Spore	Pilzspore	Spora	버섯포자	蘑菇孢子	蘑菇孢子
148		Destello	Destello	フラッシュ	Flash	Flash	Blitz	Flash	플래시	闪光	閃光
149		Psicoonda	Psicoonda	サイコウェーブ	Psywave	Vague Psy	Psywelle	Psiconda	사이코웨이브	精神波	精神波
150		Salpicadura	Salpicadura	はねる	Splash	Trempette	Platscher	Splash	튀어오르기	跃起	躍起
151		Armadura ácida	Armadura ácida	とける	Acid Armor	Acidarmure	Säurepanzer	Scudo Acido	녹기	溶化	溶化
152		Martillazo	Martillazo	クラブハンマー	Crabhammer	Pince-Masse	Krabbhammer	Martellata	집게해머	蟹钳锤	蟹鉗錘
153		Explosión	Explosión	だいばくはつ	Explosion	Explosion	Explosion	Esplosione	대폭발	大爆炸	大爆炸
154		Golpes furia	Garras furiosas	みだれひっかき	Fury Swipes	Combo-Griffe	Kratzfurie	Sfuriate	마구할퀴기	乱抓	亂抓
155		Huesomerang	Huesomerang	ホネブーメラン	Bonemerang	Osmerang	Knochmerang	Ossomerang	뼈다귀부메랑	骨头回力镖	骨頭回力鏢
156		Descanso	Descanso	ねむる	Rest	Repos	Erholung	Riposo	잠자기	睡觉	睡覺
157		Avalancha	Avalancha	いわなだれ	Rock Slide	Éboulement	Steinhagel	Frana	스톤샤워	岩崩	岩崩
158		Hipercolmillo	Hipercolmillo	ひっさつまえば	Hyper Fang	Croc de Mort	Hyperzahn	Iperzanna	필살앞니	终结门牙	必殺門牙
159		Afilar	Afilar	かくばる	Sharpen	Affûtage	Schärfer	Affilatore	각지기	棱角化	稜角化
160		Conversión	Conversión	テクスチャー	Conversion	Conversion	Umwandlung	Conversione	텍스처	纹理	紋理
161		Triataque	Triataque	トライアタック	Tri Attack	Triplattaque	Triplette	Tripletta	트라이어택	三重攻击	三重攻擊
162		Superdiente	Supercolmillo	いかりのまえば	Super Fang	Croc Fatal	Superzahn	Superzanna	분노의앞니	愤怒门牙	憤怒門牙
163		Cuchillada	Cuchillada	きりさく	Slash	Tranche	Schlitzer	Lacerazione	베어가르기	劈开	劈開
164		Sustituto	Sustituto	みがわり	Substitute	Clonage	Delegator	Sostituto	대타출동	替身	替身
165		Forcejeo	Forcejeo	わるあがき	Struggle	Lutte	Verzweifler	Scontro	발버둥	挣扎	掙扎
166		Esquema	Boceto	スケッチ	Sketch	Gribouille	Nachahmer	Schizzo	스케치	写生	寫生
167		Triple patada	Triple patada	トリプルキック	Triple Kick	Triple Pied	Dreifachkick	Triplocalcio	트리플킥	三连踢	三連踢
168		Ladrón	Ladrón	どろぼう	Thief	Larcin	Raub	Furto	도둑질	小偷	小偷
169		Telaraña	Telaraña	クモのす	Spider Web	Toile	Spinnennetz	Ragnatela	거미집	蛛网	蛛網
170		Telépata	Telépata	こころのめ	Mind Reader	Lire-Esprit	Willensleser	Leggimente	마음의눈	心之眼	心之眼
171		Pesadilla	Pesadilla	あくむ	Nightmare	Cauchemar	Nachtmahr	Incubo	악몽	恶梦	惡夢
172		Rueda fuego	Rueda ígnea	かえんぐるま	Flame Wheel	Roue de Feu	Flammenrad	Ruotafuoco	화염바퀴	火焰轮	火焰輪
173		Ronquido	Ronquido	いびき	Snore	Ronflement	Schnarcher	Russare	코골기	打鼾	打鼾
174		Maldición	Maldición	のろい	Curse	Malédiction	Fluch	Maledizione	저주	咒术	詛咒
175		Azote	Azote	じたばた	Flail	Gigotage	Dreschflegel	Flagello	바둥바둥	抓狂	抓狂
176		Conversión 2	Conversión 2	テクスチャー２	Conversion 2	Conversion 2	Umwandlung 2	Conversione2	텍스처2	纹理２	紋理２
177		Aerochorro	Aerochorro	エアロブラスト	Aeroblast	Aéroblast	Luftstoß	Aerocolpo	에어로블라스트	气旋攻击	氣旋攻擊
178		Esporagodón	Esporagodón	わたほうし	Cotton Spore	Spore Coton	Baumwollsaat	Cotonspora	목화포자	棉孢子	棉孢子
179		Inversión	Inversión	きしかいせい	Reversal	Contre	Gegenschlag	Contropiede	기사회생	绝处逢生	起死回生
180		Rencor	Rencor	うらみ	Spite	Dépit	Groll	Dispetto	원한	怨恨	怨恨
181		Nieve polvo	Polvo de nieve	こなゆき	Powder Snow	Poudreuse	Pulverschnee	Polneve	눈싸라기	细雪	細雪
182		Protección	Protección	まもる	Protect	Abri	Schutzschild	Protezione	방어	守住	守住
183		Ultrapuño	Superpuño	マッハパンチ	Mach Punch	Mach Punch	Tempohieb	Pugnorapido	마하펀치	音速拳	音速拳
184		Cara susto	Cara aterradora	こわいかお	Scary Face	Grimace	Grimasse	Visotruce	겁나는얼굴	可怕面孔	鬼面
185		Finta	Ataque finta	だましうち	Feint Attack	Feinte	Finte	Finta	속여때리기	出奇一击	出奇一擊
186		Beso dulce	Beso dulce	てんしのキッス	Sweet Kiss	Doux Baiser	Bitterkuss	Dolcebacio	천사의키스	天使之吻	天使之吻
187		Tambor	Tambor	はらだいこ	Belly Drum	Cognobidon	Bauchtrommel	Panciamburo	배북	腹鼓	腹鼓
188		Bomba lodo	Bomba lodo	ヘドロばくだん	Sludge Bomb	Bombe Beurk	Matschbombe	Fangobomba	오물폭탄	污泥炸弹	污泥炸彈
189		Bofetón lodo	Bofetón lodo	どろかけ	Mud-Slap	Coud’Boue	Lehmschelle	Fangosberla	진흙뿌리기	掷泥	擲泥
190		Pulpocañón	Octazuca	オクタンほう	Octazooka	Octazooka	Octazooka	Octazooka	대포무노포	章鱼桶炮	章魚桶炮
191		Púas	Púas	まきびし	Spikes	Picots	Stachler	Punte	압정뿌리기	撒菱	撒菱
192		Electrocañón	Electrocañón	でんじほう	Zap Cannon	Élecanon	Blitzkanone	Elettrocannone	전자포	电磁炮	電磁炮
193		Profecía	Visión	みやぶる	Foresight	Clairvoyance	Scharfblick	Preveggenza	꿰뚫어보기	识破	識破
194		Mismo destino	Lazo del destino	みちづれ	Destiny Bond	Lien du Destin	Abgangsbund	Destinobbligato	길동무	同命	同命
195		Canto mortal	Canto mortal	ほろびのうた	Perish Song	Requiem	Abgesang	Ultimocanto	멸망의노래	终焉之歌	滅亡之歌
196		Viento hielo	Viento helado	こごえるかぜ	Icy Wind	Vent Glace	Eissturm	Ventogelato	얼어붙은바람	冰冻之风	冰凍之風
197		Detección	Detección	みきり	Detect	Détection	Scanner	Individua	판별	看穿	看穿
198		Ataque óseo	Hueso veloz	ボーンラッシュ	Bone Rush	Charge Os	Knochenhatz	Ossoraffica	본러시	骨棒乱打	骨棒亂打
199		Fijar blanco	Fijar blanco	ロックオン	Lock-On	Verrouillage	Zielschuss	Localizza	록온	锁定	鎖定
200		Enfado	Enfado	げきりん	Outrage	Colère	Wutanfall	Oltraggio	역린	逆鳞	逆鱗
201		Tormenta de arena	Tormenta de arena	すなあらし	Sandstorm	Tempête de Sable	Sandsturm	Terrempesta	모래바람	沙暴	沙暴
202		Gigadrenado	Gigadrenado	ギガドレイン	Giga Drain	Giga-Sangsue	Gigasauger	Gigassorbimento	기가드레인	终极吸取	終極吸取
203		Aguante	Aguante	こらえる	Endure	Ténacité	Ausdauer	Resistenza	버티기	挺住	挺住
204		Encanto	Encanto	あまえる	Charm	Charme	Charme	Fascino	애교부리기	撒娇	撒嬌
205		Rodar	Rodada	ころがる	Rollout	Roulade	Walzer	Rotolamento	구르기	滚动	滾動
206		Falso tortazo	Falsa bofetada	みねうち	False Swipe	Faux-Chage	Trugschlag	Falsofinale	칼등치기	点到为止	點到為止
207		Contoneo	Fanfarronear	いばる	Swagger	Vantardise	Angeberei	Bullo	뽐내기	虚张声势	虛張聲勢
208		Batido	Licuado	ミルクのみ	Milk Drink	Lait à Boire	Milchgetränk	Buonlatte	우유마시기	喝牛奶	喝牛奶
209		Chispa	Chispa	スパーク	Spark	Étincelle	Funkensprung	Scintilla	스파크	电光	電光
210		Corte furia	Corte furia	れんぞくぎり	Fury Cutter	Taillade	Zornklinge	Tagliofuria	연속자르기	连斩	連斬
211		Ala de acero	Ala de acero	はがねのつばさ	Steel Wing	Ailes d’Acier	Stahlflügel	Alacciaio	강철날개	钢翼	鋼翼
212		Mal de ojo	Mal de ojo	くろいまなざし	Mean Look	Regard Noir	Horrorblick	Malosguardo	검은눈빛	黑色目光	黑色目光
213		Atracción	Atracción	メロメロ	Attract	Attraction	Anziehung	Attrazione	헤롱헤롱	迷人	迷人
214		Sonámbulo	Sonámbulo	ねごと	Sleep Talk	Blabla Dodo	Schlafrede	Sonnolalia	잠꼬대	梦话	夢話
215		Cascabel cura	Cascabel sanador	いやしのすず	Heal Bell	Glas de Soin	Vitalglocke	Rintoccasana	치료방울	治愈铃声	治癒鈴聲
216		Retribución	Retribución	おんがえし	Return	Retour	Rückkehr	Ritorno	은혜갚기	报恩	報恩
217		Presente	Obsequio	プレゼント	Present	Cadeau	Geschenk	Regalino	프레젠트	礼物	禮物
218		Frustración	Frustración	やつあたり	Frustration	Frustration	Frustration	Frustrazione	화풀이	迁怒	遷怒
